Country,Papers,Computer Science Papers
Afghanistan,1212,9
Albania,4106,23
Algeria,57222,1237
Andorra,219,4
Antigua & Barbuda,154,1
Argentina,190637,1435
Armenia,15450,95
Australia,1226552,18554
Austria,354524,9996
Azerbaijan,12104,53
"Bahamas, The",539,1
Bahrain,5827,25
Bangladesh,40985,462
Barbados,2031,11
Belarus,35698,294
Belgium,485937,8264
Benin,4842,13
Bermuda,754,1
Bhutan,777,5
Bolivia,4289,9
Bosnia and Herzegovina,9503,64
Botswana,6596,11
Brazil,834526,9740
Brunei Darussalam,3595,54
Bulgaria,70184,1258
Burkina Faso,6015,13
Ivory Coast (Cote d'Ivoire),5764,2
Cambodia,3450,7
Cameroon,14294,61
Canada,1594391,24466
Cabo Verde,284,2
Cayman Islands,280,1
Chad,495,5
Chile,130556,2068
China,5133924,72466
Christmas Island,8,1
Colombia,84734,1019
Comoros,134,1
Costa Rica,11445,78
Croatia,95058,638
Cuba,37055,576
Cyprus,23013,779
Czech Republic,292956,7551
"Congo, Dem. Rep. of the",813,2
Denmark,355418,5774
Djibouti,238,1
Dominica,347,2
Dominican Republic,1444,2
Ecuador,13907,182
Egypt,177824,1086
El Salvador,1470,8
Equatorial Guinea,194,1
Estonia,35913,685
Ethiopia,18738,30
Faroe Islands,678,3
"Micronesia, Fed. States of",235,1
Fiji,3232,57
Finland,305791,6269
France,1967157,44053
French Guiana,1159,3
French Polynesia,1570,14
Gabon,2465,5
"Gambia, the",2419,4
Georgia,15828,100
Germany,2790169,57136
Ghana,16380,25
Greece,290718,6973
Grenada,1370,1
Guadeloupe,1600,14
Guatemala,2910,15
Guinea,871,2
Haiti,1018,2
Honduras,1252,2
"Hong Kong, (China)",263602,7004
Hungary,174351,3841
Iceland,19627,431
India,1472192,16299
Indonesia,75220,854
"Iran, Islamic Republic of",448079,4201
Iraq,19023,239
Ireland,185268,3997
Israel,346372,9923
Italy,1583746,30102
Jamaica,5912,18
Japan,2539441,33141
Jordan,35267,450
Kazakhstan,19444,160
Kenya,31237,25
Kuwait,22167,289
Kyrgyzstan,2039,3
Lao People's Dem. Rep.,2335,3
Latvia,21635,407
Lebanon,27306,331
Lesotho,617,1
Liberia,466,1
Libyan Arab Jamahiriya,5114,32
Liechtenstein,1590,24
Lithuania,45486,401
Luxembourg,17224,1068
"Macao, (China)",8084,270
"Macedonia, TFYR",10728,174
Madagascar,3935,13
Malawi,6516,4
Malaysia,248457,3674
Maldives,265,2
Mali,3139,4
Malta,6400,182
Martinique (FR),791,5
Mauritania,609,4
Mauritius,2950,37
Mexico,284868,4799
"Moldova, Republic of",7196,130
Mongolia,4239,14
Montenegro,3345,18
Morocco,54330,1373
Mozambique,3290,4
Myanmar (ex-Burma),2330,23
Namibia,3147,11
Nepal,12053,21
Netherlands,886135,15764
Netherlands Antilles,454,1
New Caledonia,2507,19
New Zealand,218100,3414
Niger,2008,2
Nigeria,75086,168
Korea Dem. People's Rep.,746,8
Norway,281530,4518
Oman,16938,181
Pakistan,127817,1001
Palestinian Territory,5927,47
Panama,6349,25
Papua New Guinea,2680,5
Paraguay,2082,22
Peru,20308,115
Philippines,27811,187
Poland,580205,12881
Portugal,270634,7073
Puerto Rico,15710,96
Qatar,21433,334
Reunion (FR),703,4
Romania,154390,2392
Russia (Russian Fed.),956025,8418
Rwanda,2607,4
Samoa,317,3
Saudi Arabia,155805,1764
Senegal,8964,49
Serbia,71566,812
Sierra Leone,942,1
Singapore,265452,6878
Slovakia,100082,1970
Slovenia,86384,2028
South Africa,241587,1624
"Korea, (South) Republic of",1004042,18813
Spain,1256556,27776
Sri Lanka (ex-Ceilan),16719,95
Sudan,7950,34
Swaziland,1418,3
Sweden,600233,7408
Switzerland,650079,10416
Syrian Arab Republic,6834,27
Taiwan,614487,12800
"Tanzania, United Rep. of",15388,13
Thailand,156829,1352
Trinidad & Tobago,6063,29
Tunisia,76791,1746
Turkey,531899,3993
Turkmenistan,346,7
Uganda,15129,42
Ukraine,171571,636
United Arab Emirates,44413,582
United Kingdom,3150874,44101
United States,11036243,111443
Uruguay,17167,272
Uzbekistan,10520,31
Venezuela,37844,403
Vietnam,42330,1086
Yemen,3684,35
Zambia,5414,3
Zimbabwe,9291,8
