Country,GDP per capita
Afghanistan,569531
Albania,4544912
Algeria,4033902
Angola,4465734
Antigua and Barbuda,16702484
Argentina,14462920
Armenia,3857179
Aruba,24371203
Australia,55692730
Austria,47347437
Azerbaijan,4140650
The Bahamas,32660566
Bahrain,24325794
Bangladesh,1602555
Barbados,17757580
Belarus,5727385
Belgium,43488492
Belize,4806493
Benin,831100
Bhutan,2990924
Bolivia,3412813
Bosnia and Herzegovina,5180778
Botswana,7584499
Brazil,9895765
Brunei Darussalam,28278434
Bulgaria,8077009
Burkina Faso,654869
Burundi,312463
Cabo Verde,3300989
Cambodia,1379342
Cameroon,1441379
Canada,45094605
Central African Republic,388655
Chad,810158
Chile,15067724
China,8643107
Colombia,6379606
Comoros,787897
Democratic Republic of the Congo,478218
Republic of Congo,2005336
Costa Rica,11728613
Côte d'Ivoire,1621403
Croatia,13271376
Cyprus,25380484
Czech Republic,20401577
Denmark,56630596
Djibouti,1988765
Dominica,7879139
Dominican Republic,7477616
Ecuador,6216606
Egypt,2495020
El Salvador,3894736
Equatorial Guinea,14817829
Eritrea,979692
Estonia,19735347
Eswatini,3850545
Ethiopia,872840
Fiji,5527537
Finland,45927492
France,39932686
Gabon,7373128
The Gambia,704699
Georgia,4085834
Germany,44769224
Ghana,1662585
Greece,18637270
Grenada,10405303
Guatemala,4469457
Guinea,790321
Guinea-Bissau,793622
Guyana,4578204
Haiti,783789
Honduras,2766271
Hong Kong SAR,46080481
Hungary,14209443
Iceland,70248268
India,1976093
Indonesia,3875769
Islamic Republic of Iran,5289795
Iraq,4950310
Ireland,68710817
Israel,40272966
Italy,31996984
Jamaica,5193359
Japan,38448569
Jordan,4135585
Kazakhstan,8762194
Kenya,1695378
Kiribati,1721867
Korea,29938450
Kosovo,3944121
Kuwait,27393912
Kyrgyz Republic,1207781
Lao PDR,2540842
Latvia,15550442
Lebanon,12013438
Lesotho,1360557
Liberia,694166
Libya,4739917
Lithuania,16730626
Luxembourg,105863232
Macao SAR,77111001
FYR Macedonia,5474423
Madagascar,448983
Malawi,325536
Malaysia,9755178
Maldives,12527153
Mali,813300
Malta,27326715
Marshall Islands,4040291
Mauritania,1271332
Mauritius,10504468
Mexico,9318823
Micronesia,3202753
Moldova,2694469
Mongolia,3639893
Montenegro,7678443
Morocco,3136862
Mozambique,426091
Myanmar,1278071
Namibia,5589462
Nauru,8574738
Nepal,848089
Netherlands,48555353
New Zealand,41572269
Nicaragua,2220676
Niger,438425
Nigeria,1994645
Norway,75389460
Oman,17128372
Pakistan,1545938
Palau,15980190
Panama,15089346
Papua New Guinea,2401559
Paraguay,5600094
Peru,6731851
Philippines,2988897
Poland,13821233
Portugal,21158999
Puerto Rico,31581394
Qatar,61024774
Romania,10785993
Russia,10955792
Rwanda,771674
Samoa,4258343
San Marino,47595071
São Tomé and Príncipe,1846724
Saudi Arabia,21096440
Senegal,1331276
Serbia,5901226
Seychelles,15859382
Sierra Leone,487610
Singapore,57713335
Slovak Republic,17655053
Slovenia,23654409
Solomon Islands,2114677
Somalia,
South Africa,6179870
South Sudan,243113
Spain,28358808
Sri Lanka,4073309
St Kitts and Nevis,17397223
St Lucia,9606945
St Vincent and the Grenadines,7124386
Sudan,1123488
Suriname,5869515
Sweden,52925128
Switzerland,80637381
Syria,n/a
Taiwan Province of China,24292091
Tajikistan,800802
Tanzania,1034225
Thailand,6590638
Timor-Leste,2236974
Togo,611133
Tonga,4520886
Trinidad and Tobago,16637650
Tunisia,3464717
Turkey,10537186
Turkmenistan,6642523
Tuvalu,3688651
Uganda,706502
Ukraine,2656010
United Arab Emirates,37732656
United Kingdom,39800274
United States,59792013
Uruguay,16941557
Uzbekistan,1520097
Vanuatu,3093995
Venezuela,6890066
Vietnam,2353356
Yemen,1043055
Zambia,1491217
Zimbabwe,1185343
